File Name,Vertices,Faces
F045_normal.obj,3877,9999
F046_abnormal.obj,4137,12242
F046_normal.obj,4137,12242
F047_abnormal.obj,4137,12242
F047_normal.obj,4137,12242
G0033_abnormal.obj,4510,13550
G0033_normal.obj,4405,13308
G0038_abnormal.obj,4524,13188
G0038_normal.obj,4158,12103
G0039_abnormal.obj,5566,17008
G0039_normal.obj,5505,16817
G0041_abnormal.obj,3699,10000
G0041_normal.obj,3807,10000
G0042_abnormal.obj,5926,18365
G0042_normal.obj,6153,19217
G0043_abnormal.obj,4597,13743
G0043_normal.obj,4355,13016
G0044_abnormal.obj,3939,11706
G0044_normal.obj,3932,11679
G0046_abnormal.obj,3527,10000
G0046_normal.obj,3747,9999
G0048_abnormal.obj,4062,10000
G0048_normal.obj,4169,9999
G0049_abnormal.obj,5250,15576
G0049_normal.obj,4809,14266
G0050_abnormal.obj,5424,16279
G0050_normal.obj,5410,16255
G0051_abnormal.obj,4183,12362
G0051_normal.obj,3965,11774
G0053_abnormal.obj,8143,24601
G0053_normal.obj,7650,24013
G0056_abnormal.obj,4173,12400
G0056_normal.obj,4107,12188
G0059_abnormal.obj,3872,11278
G0059_normal.obj,3609,10511
Z001_abnormal.obj,3924,10000
Z001_normal.obj,3924,10000
Z002_abnormal.obj,3436,10000
Z002_normal.obj,3436,10000
Z003_abnormal.obj,3915,9999
Z003_normal.obj,3915,9999
Z004_abnormal.obj,3835,9999
Z004_normal.obj,3835,9999
Z005_abnormal.obj,3426,10000
Z005_normal.obj,3426,10000
Z006_abnormal.obj,3546,9999
Z006_normal.obj,3546,9999
Z007_abnormal.obj,4322,10000
Z007_normal.obj,4322,10000
Z008_abnormal.obj,4322,10000
Z008_normal.obj,4322,10000
Z009_abnormal.obj,4322,10000
Z009_normal.obj,4322,10000
Z010_abnormal.obj,3404,10000
Z010_normal.obj,3404,10000
Z011_abnormal.obj,3404,10000
Z011_normal.obj,3404,10000
Z012_abnormal.obj,5653,16759
Z012_normal.obj,5653,16759
Z013_abnormal.obj,5260,15985
Z013_normal.obj,5260,15985
Z014_abnormal.obj,3406,10000
Z014_normal.obj,3406,10000
Z015_abnormal.obj,3673,9999
Z015_normal.obj,3673,9999
Z016_abnormal.obj,3752,9999
Z016_normal.obj,3752,9999
Z017_abnormal.obj,3752,9999
Z017_normal.obj,3752,9999
Z018_abnormal.obj,3832,11140
Z018_normal.obj,3832,11140
Z019_abnormal.obj,3794,11290
Z019_normal.obj,3794,11290
Z020_abnormal.obj,4048,11795
Z020_normal.obj,4048,11795
Z021_abnormal.obj,4048,11795
Z021_normal.obj,4048,11795
Z022_abnormal.obj,4726,14339
Z022_normal.obj,4726,14339
Z023_abnormal.obj,4685,14470
Z023_normal.obj,4685,14470
Z024_abnormal.obj,6053,18599
Z024_normal.obj,6053,18599
Z027_abnormal.obj,3605,9999
Z027_normal.obj,3605,9999
Z028_abnormal.obj,3605,9999
Z028_normal.obj,3605,9999
Z029_abnormal.obj,4385,13286
Z029_normal.obj,4385,13286
Z030_abnormal.obj,4544,14043
Z030_normal.obj,4544,14043
Z031_abnormal.obj,3526,10000
Z031_normal.obj,3526,10000
Z032_abnormal.obj,4151,10000
Z032_normal.obj,4151,10000
Z033_abnormal.obj,4151,10000
Z033_normal.obj,4151,10000
Z035_abnormal.obj,3877,9999
Z035_normal.obj,3877,9999
Z036_abnormal.obj,5416,16292
Z036_normal.obj,5416,16292
Z037_abnormal.obj,8430,27044
Z037_normal.obj,8430,27044
Z038_abnormal.obj,3481,10000
Z038_normal.obj,3481,10000
Z039_abnormal.obj,7932,24904
Z039_normal.obj,7932,24904
Z040_abnormal.obj,8178,26687
Z040_normal.obj,8178,26687
Z044_abnormal.obj,4837,9999
Z044_normal.obj,4837,9999
Z046_abnormal.obj,4837,9999
Z046_normal.obj,4837,9999
Z048_abnormal.obj,4837,9999
Z048_normal.obj,4837,9999
Z049_abnormal.obj,4870,9999
Z049_normal.obj,4870,9999
Z050_abnormal.obj,4870,9999
Z050_normal.obj,4870,9999
Z051_abnormal.obj,4870,9999
Z051_normal.obj,4870,9999
Z052_abnormal.obj,4870,9999
Z052_normal.obj,4870,9999
Z054_abnormal.obj,4870,9999
Z054_normal.obj,4870,9999
Z055_abnormal.obj,4870,9999
Z055_normal.obj,4870,9999
Z057_abnormal.obj,4870,9999
Z057_normal.obj,4870,9999
Z058_abnormal.obj,4870,9999
Z058_normal.obj,4870,9999
Z059_abnormal.obj,4870,9999
Z059_normal.obj,4870,9999
Z062_abnormal.obj,4818,9999
Z062_normal.obj,4818,9999
Z063_abnormal.obj,4818,9999
Z063_normal.obj,4818,9999
Z069_abnormal.obj,4818,9999
Z069_normal.obj,4818,9999
Z070_abnormal.obj,4818,9999
Z070_normal.obj,4818,9999
Z072_abnormal.obj,4012,10000
Z072_normal.obj,4012,10000
Z073_abnormal.obj,4158,12103
Z073_normal.obj,4158,12103
Z074_abnormal.obj,4158,12103
Z074_normal.obj,4158,12103
Z075_abnormal.obj,5505,16817
Z075_normal.obj,5505,16817
Z076_abnormal.obj,5505,16817
Z076_normal.obj,5505,16817
Z077_abnormal.obj,3965,11774
Z077_normal.obj,3965,11774
Z078_abnormal.obj,3965,11774
Z078_normal.obj,3965,11774
Z079_abnormal.obj,4296,12846
Z079_normal.obj,4296,12846
Z080_abnormal.obj,4500,13653
Z080_normal.obj,4500,13653
